proto,state,service,dur,sbytes,dbytes,spkts,dpkts,sload,dload,sttl,dttl,smean,dmean,sinpkt,label
pri-enc,INT,-,9e-06,200,0,2,0,88888888.0,0.0,254,0,100,0,0.009,1
tcp,FIN,-,0.04986,3926,57474,66,68,620457.25,9086081.0,31,29,59,845,0.761846,0
tcp,FIN,-,0.99891,608,646,10,10,4388.783691,4661.080566,254,252,61,65,110.99,1
tcp,FIN,smtp,0.595864,37492,3172,52,38,493683.125,41472.55078,31,29,721,83,11.676843,0
udp,INT,-,9e-06,104,0,2,0,46222220.0,0.0,254,0,52,0,0.009,0
tcp,FIN,ftp-data,1.79909,364,804,8,8,1418.494873,3130.471436,62,252,46,101,256.895134,1
tcp,FIN,-,0.053937,4238,63516,72,74,619982.5625,9293509.0,31,29,59,858,0.766071,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
tcp,FIN,http,0.005092,1044,824,8,10,1435978.0,1165750.125,31,29,131,82,0.678571,0
udp,INT,dns,4e-06,114,0,2,0,114000000.0,0.0,254,0,57,0,0.004,1
tcp,FIN,-,0.799115,608,646,10,10,5486.068848,5826.445312,254,252,61,65,88.790556,0
tcp,FIN,-,0.304141,2054,2478,22,24,51581.33594,62471.02344,31,29,93,103,14.464333,0
tcp,REQ,-,13.847435,180,0,4,0,77.992783,0.0,254,0,45,0,4615.8115,0
udp,INT,-,1e-05,104,0,2,0,41600000.0,0.0,254,0,52,0,0.01,0
unas,INT,-,8e-06,200,0,2,0,100000000.0,0.0,254,0,100,0,0.008,1
tcp,FIN,-,52.174473,1068,622,20,14,155.631668,88.625717,254,252,53,44,2742.732895,0
tcp,FIN,-,0.028579,3926,57474,66,68,1082473.125,15851919.0,31,29,59,845,0.441,0
udp,CON,dns,0.00111,146,178,2,2,526126.125,641441.4375,31,29,73,89,0.009,0
udp,INT,-,1.2e-05,1066,0,2,0,355333312.0,0.0,254,0,533,0,0.012,0
tcp,FIN,http,0.512073,882,354,10,8,12404.48145,4843.05957,254,252,88,44,53.745,1
tcp,FIN,ssh,0.138728,3728,5474,32,24,208292.5,302520.0625,31,29,117,228,4.624267,0
udp,INT,-,9e-06,792,0,2,0,352000000.0,0.0,254,0,396,0,0.009,0
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
udp,INT,dns,1e-06,114,0,2,0,456000000.0,0.0,254,0,57,0,0.001,1
udp,CON,-,0.278347,568,320,4,4,12243.71094,6897.865234,31,29,142,80,87.660664,0
udp,INT,dns,8e-06,114,0,2,0,57000000.0,0.0,254,0,57,0,0.008,1
trunk-2,INT,-,3e-06,200,0,2,0,266666656.0,0.0,254,0,100,0,0.003,1
tcp,FIN,http,0.004671,1032,822,8,10,1546563.875,1267394.625,31,29,129,82,0.618857,0
udp,CON,-,0.034414,528,304,4,4,92055.55469,53001.68359,31,29,132,76,6.437,0
udp,INT,dns,5e-06,114,0,2,0,91200000.0,0.0,254,0,57,0,0.005,1
tcp,FIN,http,1.067397,820,13942,10,18,5531.212891,98692.42969,62,252,82,775,118.492111,1
tcp,FIN,http,0.23089,898,268,10,6,28030.66406,7761.271484,254,252,90,45,23.348222,1
xns-idp,INT,-,8e-06,200,0,2,0,100000000.0,0.0,254,0,100,0,0.008,1
udp,INT,dns,9e-06,114,0,2,0,50666664.0,0.0,254,0,57,0,0.009,1
tcp,FIN,-,0.093677,1470,1728,22,14,119901.3672,137066.7344,31,29,67,123,4.68385,0
tcp,FIN,smtp,0.28158,37268,3276,52,40,1038482.813,90773.49219,31,29,717,82,5.62464,0
udp,INT,dns,1e-05,114,0,2,0,45600000.0,0.0,254,0,57,0,0.01,1
tcp,FIN,-,1.756602,1540,1644,16,18,6576.333008,7072.746094,31,29,96,91,117.084802,0
tcp,FIN,-,1.071479,12934,548216,224,438,96143.74219,4083813.25,31,29,58,1252,4.825076,0
tcp,FIN,-,0.027267,2542,23508,40,42,727326.0625,6733120.5,31,29,64,560,0.68718,0
